num neighbors,fold,error
1,1,0.09304347826086956
1,2,0.11391304347826092
1,3,0.09122502172024327
1,4,0.0852173913043478
2,1,0.09565217391304348
2,2,0.1330434782608696
2,3,0.09817549956559513
2,4,0.1026086956521739
3,1,0.08260869565217388
3,2,0.11652173913043473
3,3,0.09122502172024327
3,4,0.08695652173913049
4,1,0.0895652173913043
4,2,0.1313043478260869
4,3,0.0955690703735882
4,4,0.0895652173913043
5,1,0.07826086956521738
5,2,0.12086956521739134
5,3,0.09730668983492619
5,4,0.07999999999999996
6,1,0.08173913043478265
6,2,0.12347826086956526
6,3,0.09991311902693312
6,4,0.08173913043478265
7,1,0.0808695652173913
7,2,0.11652173913043473
7,3,0.10599478714161603
7,4,0.0808695652173913
8,1,0.08608695652173914
8,2,0.1156521739130435
8,3,0.10599478714161603
8,4,0.08608695652173914
9,1,0.08260869565217388
9,2,0.11043478260869566
9,3,0.10512597741094698
9,4,0.08173913043478265
10,1,0.09478260869565214
10,2,0.11826086956521742
10,3,0.10599478714161603
10,4,0.08782608695652172
11,1,0.09217391304347822
11,2,0.1069565217391304
11,3,0.10251954821894005
11,4,0.08608695652173914
12,1,0.09739130434782606
12,2,0.10869565217391308
12,3,0.10599478714161603
12,4,0.08869565217391306
13,1,0.08869565217391306
13,2,0.11043478260869566
13,3,0.10599478714161603
13,4,0.08260869565217388
14,1,0.0982608695652174
14,2,0.11304347826086958
14,3,0.10686359687228497
14,4,0.08608695652173914
15,1,0.09130434782608698
15,2,0.11043478260869566
15,3,0.10686359687228497
15,4,0.08782608695652172
16,1,0.10173913043478255
16,2,0.1069565217391304
16,3,0.10599478714161603
16,4,0.09130434782608698
17,1,0.09565217391304348
17,2,0.11217391304347823
17,3,0.10599478714161603
17,4,0.08782608695652172
18,1,0.1026086956521739
18,2,0.11391304347826092
18,3,0.11033883579496095
18,4,0.09130434782608698
19,1,0.09478260869565214
19,2,0.111304347826087
19,3,0.11033883579496095
19,4,0.09043478260869564
20,1,0.10086956521739132
20,2,0.10956521739130431
20,3,0.11555169417897482
20,4,0.09478260869565214
