num neighbors,fold,error
1,1,0.07652173913043481
1,2,0.10173913043478255
1,3,0.08688097306689835
1,4,0.10956521739130431
2,1,0.10608695652173916
2,2,0.10608695652173916
2,3,0.10078192875760206
2,4,0.11217391304347823
3,1,0.09652173913043482
3,2,0.09565217391304348
3,3,0.09122502172024327
3,4,0.09999999999999998
4,1,0.0982608695652174
4,2,0.10608695652173916
4,3,0.0955690703735882
4,4,0.09999999999999998
5,1,0.0939130434782609
5,2,0.09130434782608698
5,3,0.09991311902693312
5,4,0.09739130434782606
6,1,0.09652173913043482
6,2,0.09478260869565214
6,3,0.09730668983492619
6,4,0.10173913043478255
7,1,0.09739130434782606
7,2,0.0939130434782609
7,3,0.09904430929626407
7,4,0.09217391304347822
8,1,0.0939130434782609
8,2,0.0939130434782609
8,3,0.10078192875760206
8,4,0.10347826086956524
9,1,0.0895652173913043
9,2,0.0895652173913043
9,3,0.09730668983492619
9,4,0.0982608695652174
10,1,0.09478260869565214
10,2,0.1026086956521739
10,3,0.0955690703735882
10,4,0.10434782608695647
11,1,0.0939130434782609
11,2,0.10173913043478255
11,3,0.09991311902693312
11,4,0.10521739130434782
12,1,0.09478260869565214
12,2,0.1069565217391304
12,3,0.09991311902693312
12,4,0.10956521739130431
13,1,0.09130434782608698
13,2,0.10521739130434782
13,3,0.09904430929626407
13,4,0.10521739130434782
14,1,0.09739130434782606
14,2,0.10869565217391308
14,3,0.09904430929626407
14,4,0.1026086956521739
15,1,0.08782608695652172
15,2,0.10434782608695647
15,3,0.09643788010425713
15,4,0.09999999999999998
16,1,0.0939130434782609
16,2,0.10869565217391308
16,3,0.10338835794960899
16,4,0.1026086956521739
17,1,0.09217391304347822
17,2,0.10608695652173916
17,3,0.10078192875760206
17,4,0.10347826086956524
18,1,0.09739130434782606
18,2,0.11652173913043473
18,3,0.10338835794960899
18,4,0.10869565217391308
19,1,0.09304347826086956
19,2,0.10956521739130431
19,3,0.10165073848827111
19,4,0.10434782608695647
20,1,0.10173913043478255
20,2,0.11652173913043473
20,3,0.10860121633362296
20,4,0.11391304347826092
